id_inventario,id_producto,id_sucursal,fecha,stock_actual,stock_minimo,entradas_dia,salidas_dia
1,592,3,2025-12-31,215,28,23,25
2,719,12,2025-12-31,116,16,29,26
3,485,11,2025-12-31,205,13,5,21
4,237,2,2025-12-31,171,24,30,14
5,374,5,2025-12-31,36,12,30,13
6,418,14,2025-12-31,185,14,32,58
7,278,13,2025-12-31,14,28,6,28
8,42,9,2025-12-31,41,7,1,55
9,458,13,2025-12-31,65,20,13,42
10,675,4,2025-12-31,54,17,8,36
11,432,13,2025-12-31,57,19,50,21
12,192,9,2025-12-31,48,8,13,33
13,395,2,2025-12-31,30,12,49,36
14,90,12,2025-12-31,177,6,19,4
15,57,14,2025-12-31,186,10,43,21
16,166,1,2025-12-31,33,8,49,18
17,513,5,2025-12-31,170,17,17,13
18,499,3,2025-12-31,2,10,41,6
19,294,9,2025-12-31,85,30,50,31
20,492,13,2025-12-31,61,18,7,11
21,538,7,2025-12-31,102,5,24,27
22,497,7,2025-12-31,120,23,3,27
23,51,5,2025-12-31,131,7,10,15
24,198,5,2025-12-31,141,14,22,44
25,100,3,2025-12-31,44,12,11,42
26,140,10,2025-12-31,205,25,8,1
27,87,11,2025-12-31,111,16,33,48
28,528,12,2025-12-31,83,28,18,60
29,125,15,2025-12-31,221,21,48,24
30,123,15,2025-12-31,211,29,14,45
31,128,3,2025-12-31,203,5,43,53
32,13,1,2025-12-31,7,5,43,57
33,286,1,2025-12-31,89,20,47,50
34,281,9,2025-12-31,166,6,36,36
35,105,1,2025-12-31,76,6,3,39
36,97,5,2025-12-31,190,26,19,60
37,621,14,2025-12-31,151,22,33,26
38,608,15,2025-12-31,220,20,45,44
39,274,9,2025-12-31,176,15,47,48
40,527,1,2025-12-31,157,29,48,36
41,465,4,2025-12-31,165,17,17,53
42,543,8,2025-12-31,192,25,9,24
43,341,7,2025-12-31,41,28,2,15
44,404,2,2025-12-31,32,23,48,1
45,237,6,2025-12-31,195,11,25,8
46,784,4,2025-12-31,93,16,40,9
47,132,10,2025-12-31,23,27,11,32
48,192,4,2025-12-31,106,17,6,52
49,67,2,2025-12-31,161,9,13,48
50,57,10,2025-12-31,18,10,16,45
51,800,12,2025-12-31,200,30,16,34
52,792,10,2025-12-31,139,22,30,10
53,559,14,2025-12-31,192,29,26,37
54,140,15,2025-12-31,194,19,23,31
55,697,6,2025-12-31,74,7,7,54
56,41,1,2025-12-31,192,14,28,33
57,116,11,2025-12-31,186,13,38,58
58,30,11,2025-12-31,47,8,45,6
59,38,6,2025-12-31,172,16,39,27
60,108,12,2025-12-31,205,7,32,5
61,536,7,2025-12-31,34,28,5,58
62,26,15,2025-12-31,50,8,35,19
63,442,8,2025-12-31,179,28,21,40
64,403,3,2025-12-31,36,5,47,41
