id_proveedor,nombre_proveedor,telefono,correo
1,Jiménez S. R.L. de C.V.,1-451-680-8760,normanajera@quintanilla.com
2,de Jesús y Asociados,(247)710-9324x8086,garzacamila@carvajal.com
3,Preciado e Hijos,467-737-8263x9821,linda58@proyectos.org
4,Rocha-Maestas,1-727-875-5886x7533,xgonzalez@armas.biz
5,del Río S.C.,270-289-5171x870,lucascorrea@rodarte-jaimes.com
6,Corporacin Villalpando y Fajardo,615.865.7809x1343,puenteberta@quiroz-de.com
7,Girón-Velásquez,+05(0)4556238692,deliaberrios@guajardo.com
8,Zayas-Henríquez A.C.,747.407.4821,lmontano@laboratorios.com
9,"Salazar, Bustos y Rodrígez",1-671-369-5944,ortizgerardo@valles.com
10,Paredes S.C.,743.953.3942x1047,venegasjose@despacho.biz
11,"Jurado, Sanches y Tirado",(328)588-4247,ivonne17@cisneros-gastelum.biz
12,Cruz-Mendoza,(516)048-1754x9651,marianaalvarado@garcia-barajas.info
13,Industrias Benavídez-Cortez,1-461-200-4711x38267,yuridia86@club.org
14,Rentería A.C.,(405)377-3515x850,mleal@renteria-bustos.com
15,Corporacin Collado-Becerra,900-532-9318x39335,rubenacevedo@proyectos.com
16,Lovato y Apodaca S.A.,(102)053-9502,amelia26@barela-rolon.info
17,"Saldivar, Lomeli y Pacheco",891.783.9084,dangulo@padilla.com
18,Ledesma y Durán S. R.L. de C.V.,711.592.1249x985,hzambrano@club.com
19,"Laboratorios Leyva, Rendón y Batista",1-183-673-6576x61565,jose-luis27@bustos-briones.com
20,Quezada y Blanco S. R.L. de C.V.,(152)809-8851x656,loeraruby@corporacin.com
21,"Laboratorios Bonilla, Cortez y Grijalva",731-585-1493,xvalentin@jaramillo.com
22,Paredes-Merino S.A. de C.V.,455-022-9612,bustosolga@club.com
23,"Carrero, Tovar y Garza",(545)991-0229,bonillageorgina@pineda.info
24,"Industrias Varela, Lomeli y Quiñones",(438)156-1497x840,leonardozamudio@aguilar.com
25,Franco-Galarza,1-244-510-7622,ttejada@industrias.com
