id_venta,fecha_hora,id_cliente,id_sucursal,id_canal,id_metodo_pago,monto_subtotal,monto_descuento,monto_total,numero_factura
1,2024-01-16 16:52:05,1720,4,1,1,43878.85,0.00,43878.85,F-00000001
2,2024-02-02 12:31:36,2147,11,1,3,40971.52,0.00,40971.52,F-00000002
3,2023-10-12 10:04:31,3066,10,2,1,262265.92,0.00,262265.92,F-00000003
4,2023-04-21 07:47:17,4831,2,1,2,110399.26,0.00,110399.26,F-00000004
5,2025-08-17 13:26:05,2362,14,2,2,113661.19,0.00,113661.19,F-00000005
6,2024-08-01 17:56:08,3522,8,1,2,87279.79,0.00,87279.79,F-00000006
7,2024-09-25 15:28:36,,1,2,1,135209.86,0.00,135209.86,F-00000007
8,2025-03-10 12:36:02,1966,14,1,1,13491.03,0.00,13491.03,F-00000008
9,2025-08-15 17:38:27,4082,15,3,3,223455.41,0.00,223455.41,F-00000009
10,2023-06-21 21:00:39,1320,12,1,3,265872.80,0.00,265872.80,F-00000010
11,2025-05-20 13:39:36,519,5,1,4,136913.35,0.00,136913.35,F-00000011
12,2023-11-21 11:03:56,1809,14,1,5,115010.59,1723.78,113286.81,F-00000012
13,2025-07-19 15:28:09,4221,14,1,2,29965.06,0.00,29965.06,F-00000013
14,2025-02-12 10:54:52,2272,11,1,2,22227.35,0.00,22227.35,F-00000014
15,2024-03-15 11:00:15,3264,1,1,1,51818.58,0.00,51818.58,F-00000015
16,2025-02-23 20:17:38,,13,3,5,160026.87,0.00,160026.87,F-00000016
17,2023-04-10 11:38:19,724,7,3,1,52152.99,0.00,52152.99,F-00000017
18,2024-10-29 13:47:28,2403,6,2,1,61807.23,0.00,61807.23,F-00000018
19,2024-11-06 09:14:39,834,10,1,4,98671.79,0.00,98671.79,F-00000019
20,2024-05-13 16:43:33,2195,4,1,2,151358.37,0.00,151358.37,F-00000020
21,2023-12-15 11:27:35,3662,9,1,1,38699.19,0.00,38699.19,F-00000021
22,2023-05-11 05:42:29,2677,14,2,1,120925.86,0.00,120925.86,F-00000022
23,2025-11-23 14:59:40,3600,4,1,3,157316.27,0.00,157316.27,F-00000023
