id_detalle,id_venta,id_producto,id_promocion,cantidad,precio_unitario_venta,descuento_aplicado,subtotal_linea
1,1,255,,1,10090.24,0.00,10090.24
2,1,222,,1,14748.06,0.00,14748.06
3,1,99,,3,6346.85,0.00,19040.55
4,2,208,,1,11096.76,0.00,11096.76
5,2,381,,1,8089.18,0.00,8089.18
6,2,556,,1,15138.89,0.00,15138.89
7,2,502,,1,6646.69,0.00,6646.69
8,3,428,,2,1221.09,0.00,2442.18
9,3,299,,5,14881.17,0.00,74405.85
10,3,780,,2,20708.52,0.00,41417.04
11,3,800,,1,16757.86,0.00,16757.86
12,3,575,,2,11200.83,0.00,22401.66
13,3,656,,3,18358.32,0.00,55074.96
14,3,696,,3,16588.79,0.00,49766.37
15,4,275,,1,7323.73,0.00,7323.73
16,4,478,,4,5422.88,0.00,21691.52
17,4,170,,4,16450.75,0.00,65803.00
18,4,406,,1,15581.01,0.00,15581.01
19,5,230,,1,10951.42,0.00,10951.42
20,5,391,,1,17812.73,0.00,17812.73
21,5,264,,1,2354.48,0.00,2354.48
22,5,614,,4,20635.64,0.00,82542.56
23,6,672,,4,19407.14,0.00,77628.56
24,6,503,,1,9651.23,0.00,9651.23
25,7,512,,4,6177.47,0.00,24709.88
26,7,319,,2,22342.63,0.00,44685.26
27,7,685,,4,16453.68,0.00,65814.72
28,8,280,,3,4497.01,0.00,13491.03
29,9,324,,1,14391.05,0.00,14391.05
30,9,452,,3,19277.38,0.00,57832.14
31,9,396,,1,16182.48,0.00,16182.48
32,9,47,,5,13857.25,0.00,69286.25
33,9,418,,2,19489.21,0.00,38978.42
34,9,500,,1,8359.29,0.00,8359.29
35,9,676,,1,6272.05,0.00,6272.05
36,9,7,,1,12153.73,0.00,12153.73
37,10,219,,2,23819.81,0.00,47639.62
38,10,320,,1,20934.09,0.00,20934.09
39,10,226,,1,15299.53,0.00,15299.53
40,10,410,,2,19116.54,0.00,38233.08
41,10,347,,3,13391.47,0.00,40174.41
42,10,628,,1,14992.65,0.00,14992.65
43,10,753,,4,10355.61,0.00,41422.44
44,10,294,,3,15725.66,0.00,47176.98
45,11,781,,2,4257.11,0.00,8514.22
46,11,446,,3,7664.46,0.00,22993.38
47,11,525,,5,6788.06,0.00,33940.30
48,11,771,,1,1352.51,0.00,1352.51
49,11,748,,2,14833.52,0.00,29667.04
50,11,381,,5,8089.18,0.00,40445.90
51,12,477,,5,12025.51,0.00,60127.55
52,12,531,34,1,8618.89,1723.78,6895.11
53,12,43,,2,4522.10,0.00,9044.20
54,12,677,,1,15528.02,0.00,15528.02
55,12,581,,1,21691.93,0.00,21691.93
56,13,597,,3,1311.69,0.00,3935.07
57,13,194,,1,16790.59,0.00,16790.59
58,13,686,,2,4619.70,0.00,9239.40
59,14,516,,1,2252.46,0.00,2252.46
60,14,382,,1,15253.83,0.00,15253.83
61,14,540,,1,4721.06,0.00,4721.06
62,15,82,,1,15006.56,0.00,15006.56
63,15,351,,1,18401.72,0.00,18401.72
64,15,49,,2,9205.15,0.00,18410.30
65,16,2,,2,4129.65,0.00,8259.30
66,16,505,,4,20703.80,0.00,82815.20
67,16,203,,4,14407.01,0.00,57628.04
68,16,196,,1,11324.33,0.00,11324.33
69,17,168,,1,385.55,0.00,385.55
70,17,553,,2,23528.82,0.00,47057.64
71,17,640,,1,4709.80,0.00,4709.80
72,18,465,,3,11187.39,0.00,33562.17
73,18,275,,1,7323.73,0.00,7323.73
74,18,176,,1,3287.37,0.00,3287.37
75,18,229,,1,15317.64,0.00,15317.64
76,18,508,,1,2316.32,0.00,2316.32
77,19,475,,5,2254.17,0.00,11270.85
78,19,705,,2,19657.52,0.00,39315.04
79,19,116,,5,9617.18,0.00,48085.90
80,20,530,,1,15036.64,0.00,15036.64
81,20,655,,4,12842.10,0.00,51368.40
82,20,743,,2,16006.46,0.00,32012.92
83,20,74,,2,3449.12,0.00,6898.24
84,20,625,,4,3984.89,0.00,15939.56
85,20,731,,1,17030.65,0.00,17030.65
86,20,253,,1,13071.96,0.00,13071.96
87,21,574,,2,7318.67,0.00,14637.34
88,21,362,,1,2599.55,0.00,2599.55
89,21,8,,3,7154.10,0.00,21462.30
90,22,752,,1,9096.76,0.00,9096.76
91,22,263,,1,4609.64,0.00,4609.64
92,22,405,,2,4453.80,0.00,8907.60
93,22,726,,3,19403.91,0.00,58211.73
94,22,82,,1,15006.56,0.00,15006.56
95,22,333,,1,23781.88,0.00,23781.88
96,22,597,,1,1311.69,0.00,1311.69
97,23,142,,3,11846.64,0.00,35539.92
98,23,172,,3,14608.57,0.00,43825.71
99,23,396,,2,16182.48,0.00,32364.96
100,23,342,,4,2777.33,0.00,11109.32
101,23,365,,3,8412.32,0.00,25236.96
102,23,686,,2,4619.70,0.00,9239.40
103,24,756,,1,14212.40,0.00,14212.40
104,24,365,,4,8412.32,0.00,33649.28
105,24,183,,2,22409.17,0.00,44818.34
106,24,251,,2,8940.07,0.00,17880.14
107,24,774,,1,17529.60,0.00,17529.60
108,24,10,,4,14444.77,0.00,57779.08
109,24,675,,5,9257.40,0.00,46287.00
110,25,70,,1,20619.12,0.00,20619.12
111,25,430,,4,18657.04,0.00,74628.16
112,25,299,,1,14881.17,0.00,14881.17
113,25,702,,1,22921.82,0.00,22921.82
114,25,521,,3,13098.79,0.00,39296.37
115,26,281,,2,10552.41,0.00,21104.82
116,27,691,,1,4027.54,0.00,4027.54
117,27,618,,1,572.47,0.00,572.47
118,27,283,,3,19241.44,0.00,57724.32
119,27,627,,1,15309.14,0.00,15309.14
120,28,327,,2,8387.39,0.00,16774.78
121,29,426,,1,16233.06,0.00,16233.06
122,29,476,,2,995.14,0.00,1990.28
123,29,515,,1,15681.68,0.00,15681.68
124,30,601,,1,15325.83,0.00,15325.83
